,date,format,deck,wins,games
147,2023-06-22,LTR,Sultai (UBG) + Splash,14,28
148,2023-06-22,LTR,Mardu (BRW) + Splash,19,36
149,2023-06-22,LTR,Temur (RGU) + Splash,9,23
150,2023-06-22,LTR,Abzan (GWB) + Splash,17,34
151,2023-06-22,LTR,Esper (WUB) + Splash,10,17
152,2023-06-22,LTR,Grixis (UBR) + Splash,6,15
153,2023-06-22,LTR,Jund (BRG) + Splash,8,14
154,2023-06-22,LTR,Naya (RGW) + Splash,26,50
155,2023-06-22,LTR,Bant (GWU) + Splash,53,80
156,2023-06-22,LTR,Four-color,45,83
157,2023-06-22,LTR,Four-color + Splash,19,29
158,2023-06-22,LTR,Five-color,8,12
159,2023-06-23,LTR,Mono-White,6,13
160,2023-06-23,LTR,Mono-Blue,0,0
161,2023-06-23,LTR,Mono-Black,33,58
162,2023-06-23,LTR,Mono-Red,33,59
163,2023-06-23,LTR,Mono-Green,5,6
164,2023-06-23,LTR,Mono-White + Splash,11,23
165,2023-06-23,LTR,Mono-Blue + Splash,14,23
166,2023-06-23,LTR,Mono-Black + Splash,162,247
167,2023-06-23,LTR,Mono-Red + Splash,21,32
168,2023-06-23,LTR,Mono-Green + Splash,4,15
169,2023-06-23,LTR,Azorius (WU),680,1233
170,2023-06-23,LTR,Dimir (UB),1355,2395
171,2023-06-23,LTR,Rakdos (BR),4253,7081
172,2023-06-23,LTR,Gruul (RG),330,613
173,2023-06-23,LTR,Selesnya (GW),642,1223
174,2023-06-23,LTR,Orzhov (WB),1956,3396
175,2023-06-23,LTR,Golgari (BG),713,1291
176,2023-06-23,LTR,Simic (GU),693,1372
177,2023-06-23,LTR,Izzet (UR),1602,2893
178,2023-06-23,LTR,Boros (RW),1968,3373
179,2023-06-23,LTR,Azorius (WU) + Splash,140,301
180,2023-06-23,LTR,Dimir (UB) + Splash,475,897
181,2023-06-23,LTR,Rakdos (BR) + Splash,699,1219
182,2023-06-23,LTR,Gruul (RG) + Splash,194,362
183,2023-06-23,LTR,Selesnya (GW) + Splash,438,832
184,2023-06-23,LTR,Orzhov (WB) + Splash,431,783
185,2023-06-23,LTR,Golgari (BG) + Splash,321,584
186,2023-06-23,LTR,Simic (GU) + Splash,295,606
187,2023-06-23,LTR,Izzet (UR) + Splash,457,807
